               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038442,            0.030252,            0.013857,             0.85994,             0.80725,             0.87109,             0.50595,            0.035588,            0.010578,           0.0096643,             0.00505,             0.00505,             0.00505
                  37,            0.038068,            0.030339,            0.013334,             0.87372,             0.80324,             0.87993,              0.5046,            0.035726,            0.010517,           0.0089413,           0.0049086,           0.0049086,           0.0049086
                  38,            0.037996,             0.03057,            0.013166,               0.854,             0.82773,             0.88479,             0.50961,            0.035766,            0.010151,           0.0084068,           0.0047671,           0.0047671,           0.0047671
                  39,            0.037642,            0.029864,            0.012891,              0.8541,             0.80971,             0.87602,             0.51829,            0.034644,            0.010259,           0.0080123,           0.0046257,           0.0046257,           0.0046257
                  40,            0.037648,            0.029737,            0.012736,             0.85214,              0.8253,             0.88567,             0.51973,            0.034662,            0.010303,           0.0071107,           0.0044843,           0.0044843,           0.0044843
                  41,            0.037292,            0.029753,             0.01252,             0.86278,             0.84261,             0.89538,             0.53129,            0.034297,           0.0099671,           0.0077717,           0.0043429,           0.0043429,           0.0043429
                  42,            0.036943,              0.0294,            0.012321,             0.87979,             0.83381,             0.90044,               0.533,            0.033795,            0.010041,           0.0069918,           0.0042014,           0.0042014,           0.0042014
                  43,            0.036712,            0.029602,            0.012121,             0.90079,             0.83115,             0.90278,             0.54644,            0.033597,           0.0098335,           0.0079491,             0.00406,             0.00406,             0.00406
                  44,            0.036254,            0.029275,            0.011666,             0.89204,             0.84024,             0.90731,             0.55197,            0.033446,           0.0097383,            0.006731,           0.0039186,           0.0039186,           0.0039186
                  45,            0.036089,            0.028931,            0.011751,             0.91307,             0.83466,             0.91416,             0.54907,            0.033643,            0.009728,           0.0068938,           0.0037771,           0.0037771,           0.0037771
                  46,            0.035854,             0.02874,            0.011392,             0.90115,             0.84673,             0.91558,             0.55181,            0.033079,           0.0096009,           0.0066454,           0.0036357,           0.0036357,           0.0036357
                  47,            0.035611,             0.02861,            0.011444,             0.88805,             0.86045,             0.91498,             0.55846,            0.032826,           0.0095481,           0.0064178,           0.0034943,           0.0034943,           0.0034943
                  48,            0.035441,            0.028469,            0.011257,             0.92077,             0.84163,             0.91686,             0.55976,            0.032677,           0.0094808,           0.0066622,           0.0033529,           0.0033529,           0.0033529
                  49,            0.035045,            0.028172,            0.010984,             0.89337,             0.86393,              0.9223,             0.56994,            0.032196,           0.0093885,           0.0058459,           0.0032114,           0.0032114,           0.0032114
                  50,             0.03486,            0.028093,            0.010703,             0.90558,             0.84972,             0.92332,             0.57469,            0.032127,           0.0092992,           0.0063624,             0.00307,             0.00307,             0.00307
                  51,            0.034462,            0.028033,            0.010768,             0.91134,             0.86348,             0.92157,             0.56911,            0.031951,           0.0092966,           0.0063063,           0.0029286,           0.0029286,           0.0029286
                  52,            0.034586,             0.02766,            0.010576,             0.90156,              0.8736,             0.92809,              0.5742,            0.031825,           0.0092384,           0.0069416,           0.0027871,           0.0027871,           0.0027871
                  53,            0.034308,            0.027499,            0.010548,             0.91333,             0.87798,             0.93332,              0.5835,            0.031297,           0.0091772,            0.006855,           0.0026457,           0.0026457,           0.0026457
                  54,             0.03394,            0.027306,            0.010147,             0.91562,             0.87804,             0.93447,             0.58521,            0.031414,           0.0090914,           0.0069244,           0.0025043,           0.0025043,           0.0025043
                  55,            0.033673,            0.027358,            0.010019,             0.91613,             0.88232,             0.93594,             0.59159,            0.030867,           0.0089355,           0.0073695,           0.0023629,           0.0023629,           0.0023629
                  56,            0.033594,            0.027029,           0.0097407,             0.92429,             0.87011,             0.93315,             0.58557,            0.030908,           0.0089356,           0.0070792,           0.0022214,           0.0022214,           0.0022214
                  57,            0.033367,            0.026931,           0.0096736,             0.91067,               0.878,             0.93234,             0.59095,            0.030683,           0.0089401,            0.007499,             0.00208,             0.00208,             0.00208
                  58,            0.033306,             0.02664,            0.009702,              0.9141,             0.87226,             0.93224,             0.59595,            0.030638,           0.0088738,           0.0067568,           0.0019386,           0.0019386,           0.0019386
                  59,            0.032918,            0.026725,           0.0094794,             0.91518,             0.87501,              0.9365,               0.596,            0.030464,           0.0087918,           0.0065597,           0.0017971,           0.0017971,           0.0017971
                  60,            0.032587,            0.026631,            0.009213,             0.90879,             0.89409,             0.93611,             0.60134,            0.030161,           0.0087785,           0.0066204,           0.0016557,           0.0016557,           0.0016557
                  61,            0.032553,            0.026302,           0.0092712,             0.92757,             0.87909,             0.93832,             0.60556,            0.029972,           0.0087277,           0.0063905,           0.0015143,           0.0015143,           0.0015143
                  62,            0.032179,            0.026196,           0.0090313,              0.9378,             0.87616,             0.94347,              0.6078,             0.02986,            0.008664,           0.0059814,           0.0013729,           0.0013729,           0.0013729
                  63,            0.032349,            0.026068,           0.0087874,             0.92351,             0.88739,             0.94287,              0.6082,             0.02967,           0.0086498,           0.0058764,           0.0012314,           0.0012314,           0.0012314
                  64,            0.032168,            0.026045,           0.0087761,             0.91301,             0.89122,             0.94172,             0.61016,            0.029503,           0.0086317,           0.0061407,             0.00109,             0.00109,             0.00109
                  65,            0.031627,            0.025901,           0.0084888,             0.91904,             0.89431,             0.94101,             0.61151,            0.029409,           0.0086183,           0.0061994,          0.00094857,          0.00094857,          0.00094857
                  66,            0.031664,            0.025691,           0.0085324,             0.92229,             0.89825,             0.94386,              0.6127,            0.029311,           0.0085656,           0.0061975,          0.00080714,          0.00080714,          0.00080714
                  67,            0.031468,            0.025612,           0.0084544,             0.92021,             0.90257,             0.94455,             0.61581,            0.029116,           0.0085412,           0.0062338,          0.00066571,          0.00066571,          0.00066571
                  68,            0.031009,            0.025295,           0.0082461,             0.91452,              0.9057,             0.94625,             0.61751,            0.029115,           0.0085263,           0.0063221,          0.00052429,          0.00052429,          0.00052429
                  69,            0.030804,            0.024922,           0.0079636,             0.91401,             0.89358,             0.94449,              0.6201,            0.029042,           0.0085356,            0.006429,          0.00038286,          0.00038286,          0.00038286
